"","Autofluorescence","CD16","CD14","DNAM1","CCR10","NKG2D","CD62L","LIVE DEAD Blue","CD4","CD25","CD45RA","CCR6","NKG2A","CD56","CD31","gdTCR","CD8","CCR4","CXCR3","FoxP3","CD3"
"CD8naive.7",1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
"CD8mature",1,0,0,0.775,0.0264,0.28,0.32,0,0,0.076,1,0.126,0.0225,0,0.63,0,1,0,0.55,0,1
"CD8mature.1",1,0,0,0.775,0.0264,0.28,0.32,0,0,0.076,1,0.126,0.0225,0,0.63,0,1,0,0.55,0,1
"CD8mature.2",1,0,0,0.775,0.0264,0.28,0.32,0,0,0.076,1,0.126,0.0225,0,0.63,0,1,0,0.55,0,1
"CD8mature.3",1,0,0,0.775,0.0264,0.28,0.32,0,0,0.076,1,0.126,0.0225,0,0.63,0,1,0,0.55,0,1
"CD8mature.4",1,0,0,0.775,0.0264,0.28,0.32,0,0,0.076,1,0.126,0.0225,0,0.63,0,1,0,0.55,0,1
"CD8mature.5",1,0,0,0.775,0.0264,0.28,0.32,0,0,0.076,1,0.126,0.0225,0,0.63,0,1,0,0.55,0,1
"CD8mature.6",1,0,0,0.775,0.0264,0.28,0.32,0,0,0.076,1,0.126,0.0225,0,0.63,0,1,0,0.55,0,1
"CD8mature.7",1,0,0,0.775,0.0264,0.28,0.32,0,0,0.076,1,0.126,0.0225,0,0.63,0,1,0,0.55,0,1
"Tgd",1,0,0,0.69,0,0.23,0.9,0,0,0.08,0.9,0.028,0.05,0.78,0.14,1,0.2,0,0.27,0,1
"Tgd.1",1,0,0,0.69,0,0.23,0.9,0,0,0.08,0.9,0.028,0.05,0.78,0.14,1,0.2,0,0.27,0,1
"Tgd.2",1,0,0,0.69,0,0.23,0.9,0,0,0.08,0.9,0.028,0.05,0.78,0.14,1,0.2,0,0.27,0,1
"Tgd.3",1,0,0,0.69,0,0.23,0.9,0,0,0.08,0.9,0.028,0.05,0.78,0.14,1,0.2,0,0.27,0,1
"baseNothing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"baseNothing.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"baseNothing.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"baseNothing.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
